"address","borough","date","status","resolution","zip_code","latitude","longitude","closed_date"
"115 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Site to be cleaned.","10009","40.723488","-73.986947",NA
"12 STEUBEN STREET","BROOKLYN",2022-01-03,"Open","Graffiti Reported","11205","40.697477","-73.963868",NA
"145 INGRAHAM STREET","BROOKLYN",2022-01-03,"Open","Site to be cleaned.","11237","40.707747","-73.927884",NA
"109 EAST    2 STREET","MANHATTAN",2022-01-03,"Open","Site to be cleaned.","10009","40.723551","-73.987110",NA
"800 LONGFELLOW AVENUE","BRONX",2022-01-02,"Open","Site to be cleaned.","10474","40.817382","-73.885311",NA
"7002 16 AVENUE","BROOKLYN",2022-01-02,"Open","Site to be cleaned.","11204","40.619067","-73.997976",NA
"2844 8 AVENUE","MANHATTAN",2022-01-02,"Open","Graffiti Reported","10039","40.826420","-73.939289",NA
"163 58 STREET","BROOKLYN",2022-01-01,"Open","Property Research Required","11220","40.645143","-74.022500",NA
"748 60 STREET","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11220","40.636164","-74.010683",NA
"153 58 STREET","BROOKLYN",2022-01-01,"Open","Property Research Required","11220","40.645236","-74.022659",NA
"225 60 STREET","BROOKLYN",2022-01-01,"Open","Graffiti Reported","11220","40.643060","-74.022074",NA
"1176 60 STREET","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11219","40.630576","-74.001430",NA
"1037 60 STREET","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11219","40.632299","-74.004248",NA
"340 6 AVENUE","MANHATTAN",2022-01-01,"Open","Graffiti Reported","10011","40.731795","-74.000880",NA
"835 60 STREET","BROOKLYN",2022-01-01,"Open","Graffiti Reported","11220","40.634978","-74.008687",NA
"21-34 29 STREET","QUEENS",2022-01-01,"Open","Site to be cleaned.","11105","40.777913","-73.910390",NA
"1024 DEKALB AVENUE","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11221","40.693363","-73.933998",NA
"757 60 STREET","BROOKLYN",2022-01-01,"Open","Graffiti Reported","11220","40.636101","-74.010542",NA
"1212 60 STREET","BROOKLYN",2022-01-01,"Open","Graffiti Reported","11219","40.629857","-74.000238",NA
"21-52 29 STREET","QUEENS",2022-01-01,"Open","Graffiti Reported","11105","40.777671","-73.910687",NA
"1174 60 STREET","BROOKLYN",2022-01-01,"Open","Property Research Required","11219","40.630595","-74.001463",NA
"106 WEST  124 STREET","MANHATTAN",2022-01-01,"Open","Property Research Required","10027","40.807340","-73.946567",NA
"973 62 STREET","BROOKLYN",2022-01-01,"Open","Graffiti Reported","11219","40.631962","-74.006762",NA
"21-44 29 STREET","QUEENS",2022-01-01,"Open","Graffiti Reported","11105","40.777778","-73.910553",NA
"21-76 29 STREET","QUEENS",2022-01-01,"Open","Graffiti Reported","11105","40.777351","-73.911077",NA
"880 60 STREET","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11220","40.634528","-74.007977",NA
"6001 FT HAMILTON PARKWAY","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11219","40.633002","-74.005671",NA
"6 WEST  124 STREET","MANHATTAN",2022-01-01,"Open","Property Research Required","10027","40.805886","-73.943115",NA
"6203 FORT HAMILTON PARKWAY","BROOKLYN",2022-01-01,"Open","Site to be cleaned.","11219","40.632025","-74.007134",NA
"46-01 NEWTOWN ROAD","QUEENS",2021-12-31,"Open","Graffiti Reported","11103","40.757722","-73.913222",NA
"792 LEXINGTON AVENUE","BROOKLYN",2021-12-31,"Open","Site to be cleaned.","11221","40.690414","-73.927095",NA
"253 LEONARD STREET","BROOKLYN",2021-12-31,"Open","Site to be cleaned.","11211","40.712608","-73.947466",NA
"823 LEXINGTON AVENUE","BROOKLYN",2021-12-31,"Open","Site to be cleaned.","11221","40.690313","-73.928116",NA
"106 WEST  124 STREET","MANHATTAN",2021-12-31,"Open","Property Research Required","10027","40.807340","-73.946567",NA
"60 PATCHEN AVENUE","BROOKLYN",2021-12-31,"Open","Site to be cleaned.","11221","40.690257","-73.927535",NA
"100 WEST  125 STREET","MANHATTAN",2021-12-30,"Open","Site to be cleaned.","10027","40.807877","-73.945747",NA
"901 65 STREET","BROOKLYN",2021-12-30,"Open","Site to be cleaned.","11219","40.631209","-74.010156",NA
"344 CLASSON AVENUE","BROOKLYN",2021-12-30,"Open","Site to be cleaned.","11238","40.688772","-73.959993",NA
"2129 DAVIDSON AVENUE","BRONX",2021-12-30,"Open","Site to be cleaned.","10453","40.855635","-73.906888",NA
"526 JUNIUS STREET","BROOKLYN",2021-12-30,"Open","Site to be cleaned.","11212","40.661560","-73.900919",NA
"100 NEPTUNE AVENUE","BROOKLYN",2021-12-30,"Open","Site to be cleaned.","11235","40.582550","-73.957076",NA
"50 LUDLOW STREET","MANHATTAN",2021-12-29,"Open","Site to be cleaned.","10002","40.716366","-73.990253",NA
"98 FORSYTH STREET","MANHATTAN",2021-12-29,"Open","Site to be cleaned.","10002","40.718301","-73.992890",NA
"51 MACDOUGAL STREET","MANHATTAN",2021-12-29,"Open","Site to be cleaned.","10012","40.727839","-74.002327",NA
"64 HESTER STREET","MANHATTAN",2021-12-29,"Open","Site to be cleaned.","10002","40.715954","-73.991115",NA
